location_node,destination_node,location_lat,location_lon,destination_lat,destination_lon,time
42446849,42426747,40.715298,-74.01593,40.702675,-74.013184,2010/2/2 8:00
42439443,42430352,40.750057,-73.991188,40.758701,-73.982079,2010/2/2 8:00
42430344,42435636,40.757248,-73.983826,40.750057,-73.993347,2010/2/2 8:00
42442895,42445910,40.740524,-73.979614,40.750633,-73.981369,2010/2/2 8:00
42431659,2569923492,40.76342,-73.962143,40.711235,-74.014824,2010/2/2 8:00
42430126,42428524,40.72068,-74.004585,40.704189,-74.012978,2010/2/2 8:00
42428438,42453398,40.722164,-73.999466,40.71447,-74.013657,2010/2/2 8:00
42439842,42452973,40.746281,-73.994545,40.749966,-73.98378,2010/2/2 8:00
390519635,42438889,40.737568,-73.984016,40.755482,-73.972885,2010/2/2 8:00
42434948,42430356,40.748383,-73.982262,40.759514,-73.981728,2010/2/2 8:00
42442898,595105571,40.741234,-73.978592,40.752533,-73.968567,2010/2/2 8:00
42422899,42430314,40.745861,-73.972107,40.751839,-73.986923,2010/2/2 8:00
42445926,42423565,40.756069,-73.976425,40.759716,-73.964005,2010/2/2 8:00
42434974,42430350,40.744141,-73.973106,40.757969,-73.981621,2010/2/2 8:00
42436411,561042196,40.736717,-74.005157,40.750488,-73.978973,2010/2/2 8:00
42435422,42434268,40.749744,-73.992279,40.740944,-73.990326,2010/2/2 8:00
42446016,42446070,40.775146,-73.962852,40.785137,-73.956345,2010/2/2 8:00
42443671,42443671,40.740883,-73.991913,40.740883,-73.991913,2010/2/2 8:00
42431681,371206270,40.76664,-73.961334,40.765209,-73.953529,2010/2/2 8:00
42456060,42443821,40.772259,-73.952538,40.800468,-73.938293,2010/2/2 8:00
42435687,42430643,40.762016,-73.985039,40.756859,-74.001373,2010/2/2 8:00
42446942,42432438,40.748398,-73.978073,40.751686,-73.979439,2010/2/2 8:00
42434172,42425232,40.78458,-73.949776,40.792747,-73.965263,2010/2/2 8:00
42438802,42446987,40.769386,-73.957329,40.755581,-73.973915,2010/2/2 8:00
42446945,42427985,40.749088,-73.978249,40.764362,-73.956825,2010/2/2 8:00
42448321,42436492,40.76125,-73.966248,40.768097,-73.956711,2010/2/2 8:00
42436919,596776177,40.773605,-73.957947,40.783607,-73.953941,2010/2/2 8:00
42435636,42439996,40.750072,-73.994812,40.759853,-73.9842,2010/2/2 8:00
2061592973,42436703,40.772469,-73.990639,40.758492,-73.97226,2010/2/2 8:00
1773121034,42428287,40.727757,-73.990837,40.755928,-73.985924,2010/2/2 8:00
42445039,42443975,40.768322,-73.985329,40.756664,-73.997826,2010/2/2 8:00
42429998,42428329,40.774117,-73.981262,40.766388,-73.981468,2010/2/2 8:00
1061531454,42444043,40.784206,-73.979942,40.754784,-73.977531,2010/2/2 8:00
42437428,42437428,40.768044,-73.965881,40.768044,-73.965881,2010/2/2 8:00
42442952,42452620,40.75478,-73.969002,40.706493,-74.003242,2010/2/2 8:00
596776041,42446066,40.773796,-73.962105,40.784138,-73.956688,2010/2/2 8:00
596776156,42439984,40.78249,-73.955742,40.756817,-73.985512,2010/2/2 8:00
42428022,42427786,40.772106,-73.949883,40.744724,-73.98642,2010/2/2 8:00
42424408,42430597,40.721802,-74.008293,40.751232,-74.006767,2010/2/2 8:00
42446933,42431889,40.744801,-73.981026,40.703171,-74.011513,2010/2/2 8:00
42435514,596775941,40.777863,-73.954849,40.762764,-73.970619,2010/2/2 8:00
2408421467,42430643,40.771255,-73.865112,40.757145,-74.001137,2010/2/2 8:00
42421960,42443975,40.704304,-74.009041,40.756313,-73.99778,2010/2/2 8:00
42452107,42436393,40.714966,-73.983109,40.732819,-74.006493,2010/2/2 8:00
42440020,42439443,40.764526,-73.981369,40.750862,-73.992096,2010/2/2 8:00
42456049,42421960,40.761417,-73.960457,40.703915,-74.009102,2010/2/2 8:00
42436384,103096104,40.73177,-74.006348,40.953617,-73.920494,2010/2/2 8:00
42435310,42443528,40.785858,-73.970482,40.757713,-73.979309,2010/2/2 8:00
42436477,42436539,40.771954,-73.965393,40.782974,-73.957283,2010/2/2 8:00
42445039,42430651,40.768333,-73.984688,40.758369,-74.000671,2010/2/2 8:00
42426875,42428408,40.737125,-73.975098,40.715946,-74.004967,2010/2/2 8:00
42429346,42436917,40.775314,-73.945503,40.77446,-73.959198,2010/2/2 8:00
597294492,42446353,40.744427,-73.92823,40.760288,-73.976601,2010/2/2 8:00
42439335,42440163,40.727062,-74.003365,40.763142,-73.988426,2010/2/2 8:00
42435250,42450025,40.770241,-73.98114,40.775097,-73.955933,2010/2/2 8:00
42430367,1698103483,40.762207,-73.979904,40.774464,-73.872955,2010/2/2 8:00
561042194,42446293,40.750282,-73.979698,40.739269,-73.976303,2010/2/2 8:00
42443528,42428308,40.757236,-73.977737,40.761791,-73.984184,2010/2/2 8:00
42445417,596776127,40.741718,-73.975037,40.777687,-73.959602,2010/2/2 8:00
42452314,42430367,40.709347,-74.014854,40.761986,-73.97982,2010/2/2 8:00
42431805,42448338,40.734657,-74.004524,40.760193,-73.971649,2010/2/2 8:00
42438791,42446070,40.77243,-73.965088,40.784489,-73.956261,2010/2/2 8:00
42436181,42430363,40.708038,-74.013535,40.760414,-73.978241,2010/2/2 8:00
42454758,42428305,40.737934,-74.008194,40.759853,-73.984627,2010/2/2 8:00
42439826,42430333,40.739216,-73.999268,40.754543,-73.983856,2010/2/2 8:00
42439440,42445232,40.749931,-73.992073,40.769684,-73.962997,2010/2/2 8:00
42452809,42452809,40.785313,-73.956841,40.785938,-73.957314,2010/2/2 8:00
1698103410,106635804,40.773926,-73.870529,40.745235,-73.836861,2010/2/2 8:00
42443804,42430394,40.752148,-73.978508,40.765724,-73.976082,2010/2/2 8:00
42434074,42428305,40.755722,-73.977844,40.760468,-73.985626,2010/2/2 8:00
42449045,42439830,40.732201,-73.99411,40.740791,-73.999596,2010/2/2 8:00
42439440,1698103483,40.750374,-73.992386,40.774529,-73.872742,2010/2/2 8:00
42445653,42433620,40.749416,-73.978699,40.754143,-73.990303,2010/2/2 8:00
42429680,42445649,40.770798,-73.968132,40.751514,-73.982018,2010/2/2 8:00
596776041,596775951,40.773582,-73.961884,40.761341,-73.971962,2010/2/2 8:00
42429690,2831728347,40.767952,-73.96151,40.80481,-73.938972,2010/2/2 8:00
42450044,42444809,40.785316,-73.949432,40.784302,-73.958557,2010/2/2 8:00
42428020,42825551,40.771206,-73.950531,40.74728,-73.943535,2010/2/2 8:00
42436939,42428303,40.73349,-73.989815,40.759659,-73.985825,2010/2/2 8:00
42453610,42449341,40.720795,-73.981148,40.742657,-74.006767,2010/2/2 8:00
589100164,370893396,40.736973,-73.97435,40.719437,-73.977287,2010/2/2 8:00
371038821,42455695,40.760483,-73.962349,40.765491,-73.957039,2010/2/2 8:00
596776127,42444810,40.77734,-73.959297,40.78373,-73.957237,2010/2/2 8:00
42439826,42453104,40.739399,-73.999123,40.731991,-73.990479,2010/2/2 8:00
42439440,42435660,40.749252,-73.991074,40.755699,-73.989471,2010/2/2 8:00
42428645,42445930,40.781429,-73.981133,40.75959,-73.974731,2010/2/2 8:00
42439559,42445953,40.771717,-73.961327,40.764236,-73.970802,2010/2/2 8:00
42436052,42436340,40.719013,-74.010086,40.722572,-74.008217,2010/2/2 8:00
42448171,42429577,40.717628,-74.006042,40.715145,-74.013962,2010/2/2 8:00
42442534,42437222,40.794315,-73.97007,40.804485,-73.962723,2010/2/2 8:00
42446933,42435644,40.744503,-73.981071,40.751572,-73.992432,2010/2/2 8:00
42439409,42430643,40.773422,-73.950737,40.757179,-74.001083,2010/2/2 8:00
42431004,42436514,40.779926,-73.984695,40.764244,-73.968948,2010/2/2 8:00
42436990,596776546,40.792377,-73.970734,40.796642,-73.944901,2010/2/2 8:00
42439389,42436707,40.779057,-73.962326,40.757809,-73.970016,2010/2/2 8:00
